"Title","Year","Keywords","Agency"
"Industry Learning Environments and the Heterogeneity of Firm Performance","2010","Profitability index; Industrial organization; Production (economics); Capital intensity; Function (biology); Manufacturing sector; Learning effect; Manufacturing; Economics; Econometrics; Business; Microeconomics; Marketing; Human capital; Labour economics; Market economy; Finance; Evolutionary biology; Biology","UCLA"
"Industry Learning Environments and the Heterogeneity of Firm Performance","2010","Profitability index; Industrial organization; Production (economics); Capital intensity; Function (biology); Manufacturing sector; Learning effect; Manufacturing; Economics; Econometrics; Business; Microeconomics; Marketing; Human capital; Labour economics; Market economy; Finance; Evolutionary biology; Biology","UCLA"
"Industry Linkages from Joint Production","2023","Resource (disambiguation); Perspective (graphical); Analogy; Resource-based view; Business; Industrial organization; Product (mathematics); Position (finance); New product development; Knowledge management; Marketing; Computer science; Competitive advantage; Mathematics; Epistemology; Artificial intelligence; Computer network; Philosophy; Geometry; Finance","Boston"
"Industry Linkages from Joint Production","2023","Resource (disambiguation); Perspective (graphical); Analogy; Resource-based view; Business; Industrial organization; Product (mathematics); Position (finance); New product development; Knowledge management; Marketing; Computer science; Competitive advantage; Mathematics; Epistemology; Artificial intelligence; Computer network; Philosophy; Geometry; Finance","Boston"
"Industry Linkages from Joint Production","2023","Resource (disambiguation); Perspective (graphical); Analogy; Resource-based view; Business; Industrial organization; Product (mathematics); Position (finance); New product development; Knowledge management; Marketing; Computer science; Competitive advantage; Mathematics; Epistemology; Artificial intelligence; Computer network; Philosophy; Geometry; Finance","Boston"
"Information Systems for Collaborating Versus Transacting: Impact on Manufacturing Plant Performance in the Presence of Demand Volatility","2013","Volatility (finance); Business; Context (archaeology); Supply chain; Information system; Marketing; Industrial organization; Operations management; Economics; Finance; Paleontology; Electrical engineering; Biology; Engineering","Michigan"
"Information Systems for Collaborating versus Transacting: Impact on Plant Performance in the Presence of Demand Volatility","2011","Volatility (finance); Business; Context (archaeology); Supply chain; Information system; Marketing; Industrial organization; Operations management; Economics; Finance; Paleontology; Electrical engineering; Biology; Engineering","Michigan"
"Information Technology and Boundary of the Firm: Evidence from Plant-Level Data","2012","Vertical integration; Upstream (networking); Industrial organization; Downstream (manufacturing); Business; Production (economics); Supply chain; Survey data collection; Economics; Marketing; Microeconomics; Engineering; Telecommunications; Statistics; Mathematics","Chicago"
"Information Technology, Capabilities and Asset Ownership: Evidence from Taxicab Fleets","2009","Exploit; Asset (computer security); Business; Industrial organization; Asset specificity; Empirical evidence; Information technology; Finance; Computer science; Transaction cost; Philosophy; Computer security; Epistemology; Operating system","Berkeley"
"Information Technology, Productivity, and Asset Ownership: Evidence from Taxicab Fleets","2013","Microdata (statistics); Productivity; Industrial organization; Business; Information technology; Asset (computer security); Vertical integration; Workforce; Economics; Computer science; Census; Macroeconomics; Computer security; Population; Demography; Sociology; Economic growth; Operating system","Berkeley"
"In-Migration and Dilution of Community Social Capital","2021","Endogeneity; Microdata (statistics); Social capital; Religiosity; Instrumental variable; Census; Politics; Demographic economics; Rural community; Economics; Political science; Economic growth; Sociology; Population; Demography; Econometrics; Social science; Law","Atlanta"
"Innovation and Appropriability: Revisiting the Role of Intellectual Property","2023","Intellectual property; Business; Law and economics; Property (philosophy); Industrial organization; Economic geography; Economics; Political science; Law; Epistemology; Philosophy","Chicago"
"Innovation and Appropriability: Revisiting the Role of Intellectual Property","2023","Intellectual property; Business; Law and economics; Property (philosophy); Industrial organization; Economic geography; Economics; Political science; Law; Epistemology; Philosophy","Chicago"
"Innovation Output Choices and Characteristics of Firms in the U.S","2014","Hierarchy; Knowledge management; Organizational learning; Knowledge value chain; Business; Institution; Body of knowledge; Contrast (vision); Computer science; Sociology; Economics; Social science; Artificial intelligence; Market economy","UCLA"
"Innovation Spillovers across U.S. Tech Clusters","2024","Business; High tech; Economic geography; Industrial organization; Economics; Geography; Archaeology","Baruch"
"Innovation, Reallocation and Growth","2018","Microdata (statistics); Economics; Subsidy; Productivity; Welfare; Endogenous growth theory; Microeconomics; Labour economics; Census; Macroeconomics; Market economy; Human capital; Population; Demography; Sociology","Boston"
"Innovation, Reallocation and Growth","2018","Microdata (statistics); Economics; Subsidy; Productivity; Welfare; Endogenous growth theory; Microeconomics; Labour economics; Census; Macroeconomics; Market economy; Human capital; Population; Demography; Sociology","Boston"
"Innovation, Reallocation and Growth","2018","Microdata (statistics); Economics; Subsidy; Productivity; Welfare; Endogenous growth theory; Microeconomics; Labour economics; Census; Macroeconomics; Market economy; Human capital; Population; Demography; Sociology","Boston"
"Innovative Freight Production Models Using the Commodity Flow Survey: Improving Accuracy and Timeliness for Planning with Available Data","2017","Pandemic; Outbreak; Coronavirus disease 2019 (COVID-19); Coronavirus; Misinformation; Business; Computer security; Computer science; Virology; Medicine; Disease; Pathology; Infectious disease (medical specialty)","Baruch"
"Input Linkages and the Transmission of Shocks: Firm-Level Evidence from the 2011 Tohoku Earthquake","2019","Replication (statistics); Seismology; Computer science; Geology; Biology; Virology","Michigan"
"Input Linkages and the Transmission of Shocks: Firm-Level Evidence from the 2011 Tohoku Earthquake","2019","Replication (statistics); Seismology; Computer science; Geology; Biology; Virology","Michigan"
"Input Linkages and the Transmission of Shocks: Firm-Level Evidence from the 2011 Tohoku Earthquake","2019","Replication (statistics); Seismology; Computer science; Geology; Biology; Virology","Michigan"
"Input Sourcing under Risk: Evidence from U.S. Firms","2021","Shareholder; Creditor; Enforcement; Business; Investor protection; Quality (philosophy); German; Common law; Corporate governance; Finance; Accounting; Economics; Law; Debt; Political science; Philosophy; Archaeology; Epistemology; History","Baruch"
"Intangibles and Endogenous Firm Volatility over the Business Cycle","2013","Volatility (finance); Business cycle; Economics; Monetary economics; Total factor productivity; Business; Financial economics; Productivity; Macroeconomics","Fed Board"
"Intangibles and Endogenous Firm Volatility over the Business Cycle","2013","Volatility (finance); Business cycle; Economics; Monetary economics; Total factor productivity; Business; Financial economics; Productivity; Macroeconomics","Fed Board"
"Intellectual Property Revisited","2021","Property (philosophy); Epistemology; Law and economics; Philosophy; Sociology","Chicago"
"Intergenerational Linkages between the American Community Survey and the 2000 Long-From Census","2022","Racism; Ethnic group; Health equity; Race and health; Psychometrics of racism; Socioeconomic status; Psychological intervention; Psychology; Criminology; Medicine; Sociology; Public health; Environmental health; Population; Gender studies; Psychiatry; Nursing; Anthropology","Wisconsin"
"Intergenerational Mobility and Credit","2024","Earnings; Quantile regression; Economics; Constraint (computer-aided design); Market liquidity; Econometrics; Test (biology); Quantile; Regression; Monetary economics; Finance; Mathematics; Statistics; Paleontology; Geometry; Biology","Minnesota"
"Intergenerational Poverty, Public Assistance Use, and Earnings Among Second Generation Immigrants","2023","Environmental health; Pollution; Commission; Environmental pollution; Malaria; Environmental protection; Economic growth; Medicine; Geography; Political science; Law; Economics; Immunology; Ecology; Biology","Penn State"
"Intergenerational Transmission of Race: Permeable Boundaries between 1970 and 2010","2012","Race (biology); Transmission (telecommunications); Demographic economics; Sociology; Economics; Gender studies; Computer science; Telecommunications","Minnesota"
"Internal Labor Markets and Investment in Conglomerates","2013","Business; Investment (military); Economics; Labour economics; Market economy; Law; Political science; Politics","Chicago"
"International Harmonization of Product Standards and Firm Heterogeneity in International Trade","2011","Harmonization; International trade; Product (mathematics); Business; International economics; Economics; Physics; Geometry; Mathematics; Acoustics","Boston"
"International Trade and the Changing Demand for Skilled Workers in High-Tech Manufacturing","2008","High tech; Manufacturing sector; Manufacturing; Business; Work (physics); Economics; Telecommunications equipment; Labour economics; International trade; Industrial organization; Marketing; Mechanical engineering; Political science; Law; Engineering; Electrical engineering","Washington"
"International Trade and the Changing Demand for Skilled Workers in High-Tech Manufacturing","2008","High tech; Manufacturing sector; Manufacturing; Business; Work (physics); Economics; Telecommunications equipment; Labour economics; International trade; Industrial organization; Marketing; Mechanical engineering; Political science; Law; Engineering; Electrical engineering","Washington"
"International Trade, Employment and Earnings: Evidence from U.S. Rural Counties","2004","Earnings; Competition (biology); Empirical evidence; Economics; Rural area; Labour economics; International economics; International trade; Business; Medicine; Ecology; Philosophy; Accounting; Epistemology; Pathology; Biology","Washington"
"International Trade, Employment and Earnings: Evidence from U.S. Rural Counties","2004","Earnings; Competition (biology); Empirical evidence; Economics; Rural area; Labour economics; International economics; International trade; Business; Medicine; Ecology; Philosophy; Accounting; Epistemology; Pathology; Biology","Washington"
"Internationalization of the Rural Nonfarm Economy and the Cloud: Evidence from US Firm-level Export Data","2023","Incentive; Competition (biology); Politics; Economics; Business; Political science; Public economics; Market economy; Law; Ecology; Biology","Penn State"
"Intra-Firm Spillovers? The Stock and Flow Effects of Collocation","2017","Stock (firearms); Business; Monetary economics; Econometrics; Financial economics; Economics; Materials science; Metallurgy","Baruch"
"Intra-Firm Spillovers? The Stock and Flow Effects of Collocation","2017","Stock (firearms); Business; Monetary economics; Econometrics; Financial economics; Economics; Materials science; Metallurgy","Baruch"
"Intra-Firm Trade and Product Contractibility","2013","Business; Product (mathematics); Industrial organization; Mathematics; Geometry","Boston"
"Intra-Firm Trade and Product Contractibility (Long Version)","2010","Product (mathematics); Business; Industrial organization; Economics; Microeconomics; Mathematics; Geometry","Boston"
"Intra-national Home Bias: Some Explanations","2003","Geography","Washington"
"Introduction of Head Start and Maternal Labor Supply: Evidence from a Regression Discontinuity Design","2016","Regression discontinuity design; Head start; Discontinuity (linguistics); Head (geology); Regression; Economics; Demographic economics; Psychology; Medicine; Developmental psychology; Geology; Mathematics; Pathology; Mathematical analysis; Geomorphology; Psychoanalysis","Chicago"
"Investment Responses to Trade Liberalization: Evidence from U.S. Industries and Establishments","2018","Investment (military); Economics; Liberalization; Margin (machine learning); Productivity; Capital intensity; Competition (biology); International economics; Free trade; Capital (architecture); Monetary economics; Labour economics; Macroeconomics; Market economy; Human capital; History; Ecology; Archaeology; Machine learning; Politics; Biology; Political science; Computer science; Law","Fed Board"
"Investment Responses to Trade Liberalization: Evidence from U.S. Industries and Plants","2017","Investment (military); Tariff; Economics; Productivity; Capital intensity; Liberalization; International economics; Capital (architecture); Commercial policy; Monetary economics; Human capital; Macroeconomics; Market economy; Politics; Political science; Law; History; Archaeology","Fed Board"
"IPO Waves, Product Market Competition, and the Going Public Decision: Theory and Evidence","2012","Initial public offering; Competitor analysis; Profitability index; Competition (biology); Productivity; Product market; Business; Shock (circulatory); Economics; Market share; Private investment in public equity; Monetary economics; Product (mathematics); Industrial organization; Finance; Microeconomics; Marketing; Macroeconomics; Incentive; Medicine; Ecology; Internal medicine; Geometry; Mathematics; Private equity fund; Biology","Boston"
"IPO Waves, Product Market Competition, and the Going Public Decision: Theory and Evidence","2012","Initial public offering; Competitor analysis; Profitability index; Competition (biology); Productivity; Product market; Business; Shock (circulatory); Economics; Market share; Private investment in public equity; Monetary economics; Product (mathematics); Industrial organization; Finance; Microeconomics; Marketing; Macroeconomics; Incentive; Medicine; Ecology; Internal medicine; Geometry; Mathematics; Private equity fund; Biology","Boston"
"IPOs, Human Capital, and Labor Reallocation","2024","Labour economics; Capital (architecture); Initial public offering; Human capital; Business; Economics; Monetary economics; Market economy; Archaeology; History","Fed Board"
"IPOs, Human Capital, and Labor Reallocation","2024","Labour economics; Capital (architecture); Initial public offering; Human capital; Business; Economics; Monetary economics; Market economy; Archaeology; History","Fed Board"
"Is Affirmative Action in Employment Still Effective in the 21st Century?","2022","Industrial and organizational psychology; Perspective (graphical); Vocational education; Theme (computing); Scholarship; Psychology; Argument (complex analysis); Health psychology; School psychology; Sociology; Public health; Applied psychology; Epistemology; Social psychology; Pedagogy; Political science; Medicine; Philosophy; Nursing; Artificial intelligence; Computer science; Internal medicine; Law; Operating system","Yale"
"Is Affirmative Action in Employment Still Effective in the 21st Century?","2022","Industrial and organizational psychology; Perspective (graphical); Vocational education; Theme (computing); Scholarship; Psychology; Argument (complex analysis); Health psychology; School psychology; Sociology; Public health; Applied psychology; Epistemology; Social psychology; Pedagogy; Political science; Medicine; Philosophy; Nursing; Artificial intelligence; Computer science; Internal medicine; Law; Operating system","Yale"
"Is Air Pollution Regulation Too Stringent? Evidence from U.S. Offset Markets","2023","Computable general equilibrium; Economics; Investment (military); International economics; Per capita; Foreign direct investment; Free trade; Free trade agreement; Real gross domestic product; Liberalization; Gross domestic product; International trade; Agricultural economics; Macroeconomics; Market economy; Population; Demography; Sociology; Politics; Political science; Law","Berkeley"
"Is the Social Safety Net a Long-Term Investment? Large-Scale Evidence from the Food Stamps Program","2020","Safety net; Term (time); Scale (ratio); Investment (military); Food stamps; Net (polyhedron); Business; Economics; Environmental health; Medicine; Geography; Mathematics; Cartography; Politics; Political science; Welfare; Law; Market economy; Physics; Geometry; Quantum mechanics","Michigan"
"Is the Social Safety Net a Long-Term Investment? Large-Scale Evidence from the Food Stamps Program","2020","Safety net; Term (time); Scale (ratio); Investment (military); Food stamps; Net (polyhedron); Business; Economics; Environmental health; Medicine; Geography; Mathematics; Cartography; Politics; Political science; Welfare; Law; Market economy; Physics; Geometry; Quantum mechanics","Michigan"
"Is There Really an Export-Wage Premium? A Case Study of Los Angeles using Matched Employer-Employee Data.","2006","Wage; Nationality; Metropolitan area; Census; Economics; Labour economics; Econometric analysis; Demographic economics; Manufacturing; Low wage; Immigration; Business; Geography; Marketing; Population; Econometrics; Demography; Archaeology; Sociology","UCLA"
"Is There Really an Export-Wage Premium? A Case Study of Los Angeles using Matched Employer-Employee Data.","2006","Wage; Nationality; Metropolitan area; Census; Economics; Labour economics; Econometric analysis; Demographic economics; Manufacturing; Low wage; Immigration; Business; Geography; Marketing; Population; Econometrics; Demography; Archaeology; Sociology","UCLA"
"Is There Really an Export-Wage Premium? A Case Study of Los Angeles using Matched Employer-Employee Data.","2006","Wage; Nationality; Metropolitan area; Census; Economics; Labour economics; Econometric analysis; Demographic economics; Manufacturing; Low wage; Immigration; Business; Geography; Marketing; Population; Econometrics; Demography; Archaeology; Sociology","UCLA"
"IT for Information-Based Partnerships: Empirical Analysis of Environmental Contingencies to Value Co-Creation","2009","Co-creation; Value (mathematics); Business; Knowledge management; Computer science; Marketing; Machine learning","Michigan"
"It’s Where You Work: Increases in the Dispersion of Earnings across Establishments and Individuals in the United States","2016","Earnings; Dispersion (optics); Inequality; Demographic economics; Variance (accounting); Economics; Work (physics); Labour economics; Finance; Accounting; Mechanical engineering; Physics; Optics; Engineering; Mathematical analysis; Mathematics","Boston"
"'It's Not You, It's Me': Breakups in U.S.-China Trade Relationships","2016","China; Economic geography; Economics; Political science; Law","Michigan"
"'It's Not You, It's Me': Breakups in U.S.-China Trade Relationships","2016","China; Economic geography; Economics; Political science; Law","Michigan"
"It's Where You Work: Increases in Earnings Dispersion across Establishments and Individuals in the U.S","2014","Earnings; Labour economics; Work (physics); Dispersion (optics); Economics; Demographic economics; Business; Finance; Engineering; Mechanical engineering; Physics; Optics","Boston"
"It's Where You Work: Increases in Earnings Dispersion across Establishments and Individuals in the U.S","2014","Earnings; Labour economics; Work (physics); Dispersion (optics); Economics; Demographic economics; Business; Finance; Engineering; Mechanical engineering; Physics; Optics","Boston"
"It's Where You Work: Increases in Earnings Dispersion across Establishments and Individuals in the U.S","2014","Earnings; Labour economics; Work (physics); Dispersion (optics); Economics; Demographic economics; Business; Finance; Engineering; Mechanical engineering; Physics; Optics","Boston"
"Job Changing and the Decline in Long-Distance Migration in the United States","2017","Demographic economics; Socioeconomic status; Dual (grammatical number); Demographic change; Job loss; Economics; Population; Labour economics; Economic growth; Demography; Sociology; Unemployment; Art; Literature","Chicago"
"Job Dynamics with Staffed Labor","2024","Ascription; Psychology; Sociology; Business; Linguistics; Philosophy","Fed Board"
"Job Referral Networks and the Determination of Earnings in Local Labor Markets","2015","Earnings; Exploit; Labour economics; Referral; Business; Quality (philosophy); Demographic economics; Economics; Finance; Medicine; Family medicine; Philosophy; Computer security; Epistemology; Computer science","Cornell"
"Job Referral Networks and the Determination of Earnings in Local Labor Markets","2015","Earnings; Exploit; Labour economics; Referral; Business; Quality (philosophy); Demographic economics; Economics; Finance; Medicine; Family medicine; Philosophy; Computer security; Epistemology; Computer science","Cornell"
"Job Referral Networks and the Determination of Earnings in Local Labor Markets","2015","Earnings; Exploit; Labour economics; Referral; Business; Quality (philosophy); Demographic economics; Economics; Finance; Medicine; Family medicine; Philosophy; Computer security; Epistemology; Computer science","Cornell"
"Job Search and Earnings Growth: General and Specific Majors","2022","Capital asset pricing model; Economics; Financial economics; Earnings growth; Equity (law); Earnings; Cash flow; Econometrics; Finance; Political science; Law","Michigan"
"Job Upgrading and Earnings Growth for Non-college Workers","2022","Discretion; Matching (statistics); Wage growth; Earnings; Labour economics; Business; Test (biology); Wage; Work (physics); Job analysis; Job design; Affect (linguistics); Job performance; Economics; Psychology; Job satisfaction; Management; Accounting; Engineering; Mechanical engineering; Paleontology; Statistics; Mathematics; Political science; Law; Biology; Communication","Boston"
"Joining Forces: How Can Founding Members’ Prior Experience Variety and Shared Experience Increase Startup Survival?","2022","Extant taxon; Variety (cybernetics); Work (physics); Public relations; Survival of the fittest; Psychology; Sociology; Marketing; Management; Business; Political science; Economics; Biology; Engineering; Computer science; Artificial intelligence; Mechanical engineering; Evolutionary biology","Minnesota"
"JUE insight: Firms and industry agglomeration","2021","Economies of agglomeration; Microdata (statistics); Economic geography; Industrial organization; Business cluster; Business; Space (punctuation); Economics; Census; Microeconomics; Population; Mechanism (biology); Philosophy; Linguistics; Demography; Epistemology; Sociology","Michigan"
"Key Knowledge Gaps of Veteran Entrepreneurs in Rural and Urban Communities","2024","Sociology; Deviance (statistics); Prologue; Subject matter; Epistemology; Social science; Politics; Identity (music); Subject (documents); Aesthetics; Political science; History; Pedagogy; Philosophy; Statistics; Mathematics; Archaeology; Law; Curriculum; Library science; Computer science","Texas"
"Kids to School and Moms to Work: New York City's Universal Pre-K Expansion and Mother's Employment","2023","Sociology; Work (physics); Gender studies; Engineering; Mechanical engineering","Baruch"
"Labor Market Concentration and Employee Health Benefits","2024","Competitive advantage; Comparative advantage; Government (linguistics); Business; Industrial organization; Revealed comparative advantage; International trade; Economics; Marketing; Linguistics; Philosophy","Maryland"
"Labor Market Concentration does not Explain the Falling Labor Share","2018","Falling (accident); Economics; Labour economics; Secondary labor market; Wage share; Split labor market theory; Labor relations; Efficiency wage; Wage; Medicine; Environmental health","Michigan"
"Labor Market Dynamics and Worker Experiences - The Geography of Worker Adaptation to Unanticipated Job Losses","2022","Scale (ratio); Fishing; Sociocultural evolution; Fishery; Geography; Political science; Biology; Cartography; Law","Boston"
"Labor Market Effects of Minority Political Empowerment: Evidence from the Voting Rights Act","2007","Politics; Incentive; Economics; Power (physics); Distribution (mathematics); Economic power; Economic system; Institutional economics; Political economy; Political science; Market economy; Law; Mathematical analysis; Physics; Mathematics; Neoclassical economics; Quantum mechanics","Berkeley"
"Labor Market Power","2022","Market power; Power (physics); Law and economics; Business; Economics; Labour economics; Market economy; Monopoly; Physics; Quantum mechanics","Minnesota"
"Labor Market Power","2022","Market power; Power (physics); Law and economics; Business; Economics; Labour economics; Market economy; Monopoly; Physics; Quantum mechanics","Minnesota"
"Labor Market Segmentation and the Distribution of Income: New Evidence from Internal Census Bureau Data","2023","Earnings; Segmentation; Market segmentation; Labor market segmentation; Component (thermodynamics); Econometrics; Distribution (mathematics); Economics; Inequality; Income distribution; Microeconomics; Labour economics; Computer science; Artificial intelligence; Mathematics; Finance; Mathematical analysis; Physics; Wage; Thermodynamics","Colorado"
"Labor Market Segmentation and the Distribution of Income: New Evidence from Internal Census Bureau Data","2023","Earnings; Segmentation; Market segmentation; Labor market segmentation; Component (thermodynamics); Econometrics; Distribution (mathematics); Economics; Inequality; Income distribution; Microeconomics; Labour economics; Computer science; Artificial intelligence; Mathematics; Finance; Mathematical analysis; Physics; Wage; Thermodynamics","Colorado"
"Labor Market Segmentation and the Distribution of Income: New Evidence from Internal Census Bureau Data","2023","Earnings; Segmentation; Market segmentation; Labor market segmentation; Component (thermodynamics); Econometrics; Distribution (mathematics); Economics; Inequality; Income distribution; Microeconomics; Labour economics; Computer science; Artificial intelligence; Mathematics; Finance; Mathematical analysis; Physics; Wage; Thermodynamics","Colorado"
"Labor Regulations and European Venture Capital","2014","Labour economics; Unemployment; Business; Venture capital; Context (archaeology); Volatility (finance); Economics; Finance; Economic growth; Paleontology; Biology","Boston"
"Large Urban Freight Traffic Generators: Opportunities for City Logistics Initiatives","2015","Metropolitan area; Transport engineering; Truck; TRIPS architecture; Trip generation; City logistics; Traffic management; Container (type theory); Business; Engineering; Geography; Automotive engineering; Mechanical engineering; Archaeology","Baruch"
"Leapfrogging the Melting Pot? European Immigrants’ Intergenerational Mobility Across the 20th Century","2021","Immigration; Census; Demographic economics; Pace; Population; CONTEST; Melting pot; Educational attainment; Geography; Demography; Political science; Economic growth; Sociology; Economics; Archaeology; Geodesy; Law","Penn State"
"Leapfrogging the Melting Pot? European Immigrants’ Intergenerational Mobility Across the 20th Century","2021","Immigration; Census; Demographic economics; Pace; Population; CONTEST; Melting pot; Educational attainment; Geography; Demography; Political science; Economic growth; Sociology; Economics; Archaeology; Geodesy; Law","Penn State"
"Learning about the Nature of Production from Equilibrium Assignment Patterns","2012","Complementarity (molecular biology); Earnings; Production (economics); Production function; Microeconomics; Exploit; Function (biology); Economics; Confidentiality; Returns to scale; Business; Econometrics; Industrial organization; Computer science; Finance; Genetics; Computer security; Evolutionary biology; Biology","Chicago"
"Learning and the Value of Relationships in International Trade","2016","Value (mathematics); International trade; Economics; International economics; Business; Psychology; Statistics; Mathematics","Michigan"
"Leasing, Ability to Repossess, and Debt Capacity","2009","Debt; Phone; Economics; Business; Finance; History; Management; Philosophy; Linguistics","Chicago"
"Leasing, Ability to Repossess, and Debt Capacity","2009","Debt; Phone; Economics; Business; Finance; History; Management; Philosophy; Linguistics","Chicago"
"Leasing, Ability to Repossess, and Debt Capacity","2009","Debt; Phone; Economics; Business; Finance; History; Management; Philosophy; Linguistics","Chicago"
"Less is More: How Family Size in Childhood Affects Long-Run Human Capital and Economic Opportunity","2019","Sociology; Social capital; Social reproduction; Positive economics; Epistemology; Value (mathematics); Capital (architecture); Asset (computer security); Individual capital; Social science; Neoclassical economics; Financial capital; Economics; Computer science; History; Profit (economics); Philosophy; Computer security; Archaeology; Machine learning","Michigan"
"Levels and Trends in United States Income and Its Distribution: A Crosswalk from Market Income Towards a Comprehensive Haig-Simons Income Measure","2013","ssel; workers; growth; data; income","Cornell"
"Life Course Events that Lead to Household Composition Change and Residential Mobility in U.S. subsidized households","2024","Gentrification; Displacement (psychology); Economic geography; Demographic economics; Geography; Economics; Economic growth; Psychology; Psychotherapist","Seattle"
"Life Course Events that Lead to Household Composition Change and Residential Mobility in U.S. subsidized households","2024","Gentrification; Displacement (psychology); Economic geography; Demographic economics; Geography; Economics; Economic growth; Psychology; Psychotherapist","Seattle"
"Linking Home to Work: Ethnic Labor Market Concentration in the San Francisco CMSA","2006","Suburbanization; Downtown; Equity (law); Promotion (chess); Compact city; Urban sprawl; Business; New Urbanism; Transport engineering; Economic growth; Public economics; Environmental economics; Urban planning; Environmental planning; Economics; Engineering; Geography; Political science; Civil engineering; Architecture; Urbanism; Archaeology; Metropolitan area; Politics; Law","Triangle"
"Living With(out) Citizenship: Investigating the Impact of Naturalization on Mortality Risk Among U.S. Immigrants","2024","Immigration; Enforcement; Sanctions; Deportation; Population; Government (linguistics); Immigration policy; Immigration law; Political science; Border Security; Law enforcement; Illegal immigration; Demographic economics; Business; Development economics; Economics; Law; Sociology; Linguistics; Philosophy; Demography","Penn State"
"Local and National Concentration Trends in Jobs and Sales: The Role of Structural Transformation","2023","Transformation (genetics); Business; Econometrics; Economics; Chemistry; Biochemistry; Gene","Boston"
"Local Industrial Conditions and Entrepreneurship: How Much of the Spatial Distribution Can We Explain?","2009","Endogeneity; Demographics; Economic geography; Entrepreneurship; Distribution (mathematics); Explanatory power; Census; Business; Industrial organization; Manufacturing; Marketing; Economics; Econometrics; Population; Mathematical analysis; Philosophy; Demography; Mathematics; Finance; Epistemology; Sociology","Boston"
"Local Manufacturing Establishments and the Earnings of Manufacturing Workers: Insights from Matched Employer-Employee Data","2011","Business; Earnings; Labour economics; Manufacturing; Economics; Marketing; Accounting","Chicago"
"Local Ties in Spatial Equilibrium","2019","Subsidy; Productivity; Economics; Wage; Labour economics; Hysteresis; Market economy; Economic growth; Physics; Quantum mechanics","Michigan"
"Locally Owned Bank Commuting Zone Concentration and Employer Start-Ups in Metropolitan, Micropolitan and Non-Core Rural Commuting Zones from 1970-2010","2018","Metropolitan area; Restructuring; Dynamism; Business; Economic geography; Finance; Economics; Geography; Physics; Archaeology; Quantum mechanics","Texas"
"Locally Owned Bank Concentration and New Business Start-Ups in Metropolitan, Micropolitan and Non-Core Rural Counties from 1970-2010","2020","Urbanization; Economic growth; Operationalization; Poverty; Corporate governance; Rural area; Natural resource; Urban planning; Social Welfare; Geography; Environmental planning; Political science; Economic geography; Business; Economics; Ecology; Philosophy; Epistemology; Finance; Law; Biology","Texas"
"Locked In? The Enforceability of Covenants Not to Compete and the Careers of High-Tech Workers","2022","Marketing buzz; Covenant; Management; Library science; Political science; Law; Business; Computer science; Economics; Advertising","UCLA"
"Locked In? The Enforceability of Covenants Not to Compete and the Careers of High-Tech Workers","2022","Marketing buzz; Covenant; Management; Library science; Political science; Law; Business; Computer science; Economics; Advertising","UCLA"
"Longevity and the value of trade relationships","2023","Economics; Consumption (sociology); Census; Value (mathematics); Longevity; Term (time); Capital (architecture); General equilibrium theory; Econometrics; Microeconomics; Geography; Social science; Population; Physics; Demography; Archaeology; Quantum mechanics; Machine learning; Sociology; Biology; Computer science; Genetics","Fed Board"
"Long-Run Adult Socio-economic Outcomes from In Utero Airborne Lead Exposure","2022","Natural resource economics; Global health; Planetary boundaries; Development economics; Environmental resource management; Political science; Economic growth; Environmental planning; Business; Geography; Health care; Sustainable development; Economics; Law","Michigan"
"Long-Term Benefits to Indigenous Communities of Extractive Industry Partnerships: Evaluating the Red Dog Mine","2020","Indigenous; Business; Earnings; Work (physics); Peninsula; Population; Wage; Natural resource economics; Economic growth; Geography; Economics; Finance; Labour economics; Ecology; Mechanical engineering; Demography; Archaeology; Biology; Sociology; Engineering","USC"
"Long-term effects of capital transfers: Alaska Native Corporations and the relative well-being of Alaska Native shareholders","2020","Pension fund; Corporate governance; Pension; Business; Accounting; Public administration; Political science; Finance","USC"
"Long-term effects of group rights to resources: Evaluating the Western Alaska Community Development Quota program","2020","Fishing; Livelihood; Fisheries management; Business; Adaptive management; Environmental resource management; Resource (disambiguation); Process (computing); Scale (ratio); Fishery; Economics; Ecology; Computer science; Geography; Agriculture; Computer network; Cartography; Biology; Operating system","USC"
"Lorenz Interpolation: A Method for Estimating Income Inequality from Grouped Income Data","2022","Lorenz curve; Economic inequality; Census tract; Inequality; Income distribution; Income inequality metrics; Econometrics; Economics; Interpolation (computer graphics); Household income; Census; Statistics; Mathematics; Gini coefficient; Geography; Computer science; Sociology; Demography; Image (mathematics); Population; Mathematical analysis; Archaeology; Artificial intelligence","Triangle"
"Low-Wage Jobs, Foreign-Born Workers, and Firm Performance","2023","Labour economics; Foreign born; Wage; Business; Demographic economics; Immigration; Economics; Political science; Law","Philadelphia"
"Macroeconomic and Asset Pricing Effects of Supply Chain Disasters","2022","Supply chain; Asset (computer security); Business; Capital asset pricing model; Consumption-based capital asset pricing model; Economics; Financial economics; Monetary economics; Computer science; Computer security; Marketing","Minnesota"
"Making a Motivated Manager: A Census Data Investigation into Efficiency Differences Between Franchisee and Franchisor-Owned Restaurants","2016","Microdata (statistics); Census; Data envelopment analysis; Business; Productivity; Work (physics); Service (business); Marketing; Economics; Statistics; Population; Economic growth; Engineering; Mathematics; Mechanical engineering; Demography; Sociology","Missouri"
