title,year,datasets,display_author_names,raw_author_names,doi,abstract,institution_display_names,raw_affiliation_strings,detailed_affiliations,original_keywords,original_agency,keywords
Managing Trade: Evidence from China and the U.S,2019,,,,https://doi.org/10.1596/978-0-8213-6470-3,,,,,History,Michigan,History
Managing Trade: Evidence from China and the U.S,2019,,,,https://doi.org/10.1596/978-0-8213-6470-3,,,,,History,Michigan,History
Mandated Benefits and Firm Behavior: Evidence from Business Regulations and the Universe of U.S. Firms,2013,,,,https://doi.org/10.1162/00346530151143815,,Vanderbilt University,PHB Hagler Bailly; Vanderbilt University,PHB Hagler Bailly; Vanderbilt University,Intangible asset; Business; Value (mathematics); Market value; Asset (computer security); Book value; Sample (material); Liability; Finance; Statistics; Mathematics; Chemistry; Computer security; Earnings; Chromatography; Computer science,Boston,"Intangible asset, Business, Value (mathematics), Market value, Asset (computer security), Book value, Sample (material), Liability, Finance, Statistics, Mathematics, Chemistry, Computer security, Earnings, Chromatography, Computer science"
Manufacturing Plants' Use of Temporary Workers: An Analysis Using Census Microdata,2013,,,,https://doi.org/10.1111/irel.12018,,Keio University; Federal Reserve Bank of Chicago,"Department of Business and Commerce, Keio University, Tokyo, Japan; Economic Research, Federal Reserve Bank of Chicago, Chicago, IL","Department of Business and Commerce, Keio University, Tokyo, Japan; Economic Research, Federal Reserve Bank of Chicago, Chicago, IL",Microdata (statistics); Census; Wage; Turnover; Business; Demographic economics; Survey data collection; Economics; Labour economics; Environmental health; Statistics; Medicine; Population; Management; Mathematics,Chicago,"Microdata (statistics), Census, Wage, Turnover, Business, Demographic economics, Survey data collection, Economics, Labour economics, Environmental health, Statistics, Medicine, Population, Management, Mathematics"
Manufacturing Solutions: Explaining E-Commerce Adoption in Manufacturing Firms,2012,,,,https://doi.org/10.1596/1813-9450-5631,,George Washington University; World Bank Group,"George Washington University - School of Business; University of Maryland, Robert H. Smith School of Business; World Bank - Development Research Group; World Bank;  University of Maryland - Robert H. Smith School of Business","George Washington University - School of Business; University of Maryland, Robert H. Smith School of Business; World Bank - Development Research Group; World Bank;  University of Maryland - Robert H. Smith School of Business",Job creation; Business; Labour economics; Demographic economics; Economics,Chicago,"Job creation, Business, Labour economics, Demographic economics, Economics"
Market Exposure and Endogenous Firm Volatility over the Business Cycle,2016,,,,https://doi.org/10.1257/mac.20130011,,University of Cincinnati; Federal Reserve Board of Governors; Federal Reserve Bank of Philadelphia; Federal Reserve,"Board of Governors of the Federal Reserve System, 20th Street and C Street NW, Washington, DC 20551 (e-mail: ); Federal Reserve Bank of Philadelphia, Research Department, Ten Independence Mall, Philadelphia, PA 19106 (e-mail: ); University of Cincinnati, Carl H. Lindner College of Business, Department of Economics, 330 Carl H. Lindner Hall, 2925 Campus Green Dr, Cincinnati, OH 45221 (e-mail: )","Board of Governors of the Federal Reserve System, 20th Street and C Street NW, Washington, DC 20551 (e-mail: ); Federal Reserve Bank of Philadelphia, Research Department, Ten Independence Mall, Philadelphia, PA 19106 (e-mail: ); University of Cincinnati, Carl H. Lindner College of Business, Department of Economics, 330 Carl H. Lindner Hall, 2925 Campus Green Dr, Cincinnati, OH 45221 (e-mail: )",Volatility (finance); Business cycle; Economics; Monetary economics; Demand shock; Endogeny; Financial economics; Macroeconomics; Internal medicine; Medicine,Fed Board,"Volatility (finance), Business cycle, Economics, Monetary economics, Demand shock, Endogeny, Financial economics, Macroeconomics, Internal medicine, Medicine"
Market Factors Influencing the Choice and Generosity of Health Insurance Plans Offered to Employees,2022,,,,https://doi.org/10.1257/jep.12.4.133,,Harvard University,"Professor of Economics, Harvard University, Cambridge, Massachusetts.","Professor of Economics, Harvard University, Cambridge, Massachusetts.",Incentive; Capitalism; Market economy; Public ownership; Socialism; Politics; State ownership; Government (linguistics); Economics; Private property; State (computer science); Profit (economics); Language change; Private enterprise; State capitalism; Vitality; Business; Finance; Neoclassical economics; Law; Political science; Communism; Art; Linguistics; Emerging markets; Philosophy; Literature; Theology; Algorithm; Computer science,Maryland,"Incentive, Capitalism, Market economy, Public ownership, Socialism, Politics, State ownership, Government (linguistics), Economics, Private property, State (computer science), Profit (economics), Language change, Private enterprise, State capitalism, Vitality, Business, Finance, Neoclassical economics, Law, Political science, Communism, Art, Linguistics, Emerging markets, Philosophy, Literature, Theology, Algorithm, Computer science"
"Market Forces, Plant Technology, and the Food Safety Technology Use",2008,,,,https://doi.org/10.2139/ssrn.1427818,,Washington State University; Economic Research Service,U.S. Department of Agriculture (USDA) - Economic Research Service (ERS); Washington State University,U.S. Department of Agriculture (USDA) - Economic Research Service (ERS); Washington State University,Business; Food safety; Industrial organization; Commerce; Agricultural economics; Economics; Food science; Biology,Washington,"Business, Food safety, Industrial organization, Commerce, Agricultural economics, Economics, Food science, Biology"
"Market Power, Finance Wages and Inequality",2019,,,,https://doi.org/10.2139/ssrn.3278437,,University of Massachusetts Amherst,"University of Massachusetts, Amherst","University of Massachusetts, Amherst",Inequality; Economics; Market power; Power (physics); Labour economics; Market economy; Mathematics; Monopoly; Mathematical analysis; Physics; Quantum mechanics,Fed Board,"Inequality, Economics, Market power, Power (physics), Labour economics, Market economy, Mathematics, Monopoly, Mathematical analysis, Physics, Quantum mechanics"
Marshall’s Scale Economies,2003,,,,https://doi.org/10.1177/0042098009359953,,Northwestern State University; Korea National University of Education; Syracuse University,"Bun Song Lee is in the College of Business, Northwestern State University, 306A Russell Hall, Natchitoches, Louisiana, 71497, USA,; Sung Hyo Hong is in the Department of Economics, Syracuse University, 131 Eggers Hall, Syracuse, New York, 13224, USA,; Soomyung Jang is in the Graduate School of Educational Policy and Administration, Korea National University of Education, San 7 Darak-ri, Gangnae-myeon, Cheonwongun, Chungbuk, 363-791, Korea,","Bun Song Lee is in the College of Business, Northwestern State University, 306A Russell Hall, Natchitoches, Louisiana, 71497, USA,; Sung Hyo Hong is in the Department of Economics, Syracuse University, 131 Eggers Hall, Syracuse, New York, 13224, USA,; Soomyung Jang is in the Graduate School of Educational Policy and Administration, Korea National University of Education, San 7 Darak-ri, Gangnae-myeon, Cheonwongun, Chungbuk, 363-791, Korea,",Economies of agglomeration; Externality; Productivity; Competition (biology); Product (mathematics); Economies of scale; Manufacturing; Business; Economic geography; Urbanization; Scale (ratio); Economics; Industrial organization; Economic growth; Marketing; Geography; Microeconomics; Ecology; Geometry; Mathematics; Cartography; Biology,Boston,"Economies of agglomeration, Externality, Productivity, Competition (biology), Product (mathematics), Economies of scale, Manufacturing, Business, Economic geography, Urbanization, Scale (ratio), Economics, Industrial organization, Economic growth, Marketing, Geography, Microeconomics, Ecology, Geometry, Mathematics, Cartography, Biology"
Materials Prices and Productivity,2014,,,,https://doi.org/10.1111/jeea.12036,,University of Chicago,University of Chicago,University of Chicago,Productivity; Economics; Monetary economics; Agricultural economics; Natural resource economics; Macroeconomics,Chicago,"Productivity, Economics, Monetary economics, Agricultural economics, Natural resource economics, Macroeconomics"
Materials Prices and Productivity,2014,,,,https://doi.org/10.1111/jeea.12036,,University of Chicago,University of Chicago,University of Chicago,Productivity; Economics; Monetary economics; Agricultural economics; Natural resource economics; Macroeconomics,Chicago,"Productivity, Economics, Monetary economics, Agricultural economics, Natural resource economics, Macroeconomics"
Measurement Error in U.S. Regional Economic Data,2022,,,,https://doi.org/10.1056/nejmoa041031,,"University of California, San Francisco; Kaiser Permanente","Division of Research, Kaiser Permanente of Northern California, Oakland, University of California, San Francisco, San Francisco.; Departments of Epidemiology and Biostatistics, University of California, San Francisco, San Francisco.; Medicine, University of California, San Francisco, San Francisco.","Division of Research, Kaiser Permanente of Northern California, Oakland, University of California, San Francisco, San Francisco.; Departments of Epidemiology and Biostatistics, University of California, San Francisco, San Francisco.; Medicine, University of California, San Francisco, San Francisco.",Inference; Econometrics; Confidentiality; Statistical inference; Panel data; Observational error; Statistics; Standard error; Identification (biology); Statistical error; Computer science; Economics; Mathematics; Computer security; Botany; Artificial intelligence; Biology,Texas,"Medicine, Hazard ratio, Renal function, Confidence interval, Kidney disease, Dialysis, Creatinine, Internal medicine, Body surface area, Transplantation, Kidney transplantation, Urology, Surgery"
Measurement Error in U.S. Regional Economic Data,2022,,,,https://doi.org/10.1056/nejmoa041031,,"University of California, San Francisco; Kaiser Permanente","Division of Research, Kaiser Permanente of Northern California, Oakland, University of California, San Francisco, San Francisco.; Departments of Epidemiology and Biostatistics, University of California, San Francisco, San Francisco.; Medicine, University of California, San Francisco, San Francisco.","Division of Research, Kaiser Permanente of Northern California, Oakland, University of California, San Francisco, San Francisco.; Departments of Epidemiology and Biostatistics, University of California, San Francisco, San Francisco.; Medicine, University of California, San Francisco, San Francisco.",Inference; Econometrics; Confidentiality; Statistical inference; Panel data; Observational error; Statistics; Standard error; Identification (biology); Statistical error; Computer science; Economics; Mathematics; Computer security; Botany; Artificial intelligence; Biology,Texas,"Medicine, Hazard ratio, Renal function, Confidence interval, Kidney disease, Dialysis, Creatinine, Internal medicine, Body surface area, Transplantation, Kidney transplantation, Urology, Surgery"
Measuring  the  Effects  of  Firm  Uncertainty  on  Economic  Activity:  New  Evidence from One Million Documents,2020,,,,https://doi.org/10.2139/ssrn.3705107,,"Stanford University; University of California, San Diego","University of California, San Diego (UCSD) - School of Global Policy & Strategy; Stanford University","University of California, San Diego (UCSD) - School of Global Policy & Strategy; Stanford University",Business; Economics; Natural resource economics; Public economics,Michigan,"Business, Economics, Natural resource economics, Public economics"
Measuring Leakage Risk,2016,,,,https://doi.org/10.1001/archopht.117.10.1329,,,,,Verteporfin; Choroidal neovascularization; Macular degeneration; Medicine; Ophthalmology; Visual acuity; Fluorescein angiography; Surgery,Berkeley,"Verteporfin, Choroidal neovascularization, Macular degeneration, Medicine, Ophthalmology, Visual acuity, Fluorescein angiography, Surgery"
Measuring Plant Level Energy Efficiency and Technical Change in the U.S. Metal-Based Durable Manufacturing Sector Using Stochastic Frontier Analysis,2019,,,,https://doi.org/10.1016/j.eneco.2019.03.021,,East Carolina University; Social Science Research Council; Duke University,"Social Science Research Institute, Duke University, Box 90989, Durham, NC 27708, United States of America; Department of Economics, East Carolina University, Greenville, NC 27858, United States of America","Social Science Research Institute, Duke University, Box 90989, Durham, NC 27708, United States of America; Department of Economics, East Carolina University, Greenville, NC 27858, United States of America",Efficient energy use; Econometrics; Stochastic frontier analysis; Energy mix; Economics; Malmquist index; Electricity; Index (typography); Production–possibility frontier; Environmental science; Production (economics); Engineering; Computer science; Electricity generation; Microeconomics; Macroeconomics; Productivity; Power (physics); Physics; Total factor productivity; Quantum mechanics; World Wide Web; Electrical engineering,Triangle,"Efficient energy use, Econometrics, Stochastic frontier analysis, Energy mix, Economics, Malmquist index, Electricity, Index (typography), Production–possibility frontier, Environmental science, Production (economics), Engineering, Computer science, Electricity generation, Microeconomics, Macroeconomics, Productivity, Power (physics), Physics, Total factor productivity, Quantum mechanics, World Wide Web, Electrical engineering"
Measuring Plant Level Energy Efficiency and Technical Change in the U.S. Metal-Based Durable Manufacturing Sector Using Stochastic Frontier Analysis,2019,,,,https://doi.org/10.1016/j.eneco.2019.03.021,,East Carolina University; Social Science Research Council; Duke University,"Social Science Research Institute, Duke University, Box 90989, Durham, NC 27708, United States of America; Department of Economics, East Carolina University, Greenville, NC 27858, United States of America","Social Science Research Institute, Duke University, Box 90989, Durham, NC 27708, United States of America; Department of Economics, East Carolina University, Greenville, NC 27858, United States of America",Efficient energy use; Econometrics; Stochastic frontier analysis; Energy mix; Economics; Malmquist index; Electricity; Index (typography); Production–possibility frontier; Environmental science; Production (economics); Engineering; Computer science; Electricity generation; Microeconomics; Macroeconomics; Productivity; Power (physics); Physics; Total factor productivity; Quantum mechanics; World Wide Web; Electrical engineering,Triangle,"Efficient energy use, Econometrics, Stochastic frontier analysis, Energy mix, Economics, Malmquist index, Electricity, Index (typography), Production–possibility frontier, Environmental science, Production (economics), Engineering, Computer science, Electricity generation, Microeconomics, Macroeconomics, Productivity, Power (physics), Physics, Total factor productivity, Quantum mechanics, World Wide Web, Electrical engineering"
Measuring Plant Level Energy Efficiency When Production Activities Are Not Homogeneous: The ENERGY STAR Energy Performance Indicator,2005,,,,,,,,,Energy intensity; Production (economics); Efficient energy use; Energy consumption; Energy (signal processing); Normalization (sociology); Econometrics; Energy accounting; Measure (data warehouse); Index (typography); Specific energy; Energy balance; Intensity (physics); Statistics; Mathematics; Environmental economics; Environmental science; Computer science; Economics; Engineering; Microeconomics; Data mining; Ecology; Physics; Quantum mechanics; Sociology; Biology; World Wide Web; Anthropology; Electrical engineering,Chicago,"Energy intensity, Production (economics), Efficient energy use, Energy consumption, Energy (signal processing), Normalization (sociology), Econometrics, Energy accounting, Measure (data warehouse), Index (typography), Specific energy, Energy balance, Intensity (physics), Statistics, Mathematics, Environmental economics, Environmental science, Computer science, Economics, Engineering, Microeconomics, Data mining, Ecology, Physics, Quantum mechanics, Sociology, Biology, World Wide Web, Anthropology, Electrical engineering"
Measuring the Effect of Immigrant Legal Status on Socioeconomic Outcomes: Variation by Legal Status Assignment Approach,2021,,,,https://doi.org/10.2307/2112778,,,,,Social reproduction; Social mobility; Socioeconomic status; Social capital; Reproduction; Educational attainment; Social class; Sociology of Education; Status attainment; Social status; Sample (material); Psychology; Cultural capital; Social inequality; Inequality; Interpersonal ties; Sociology; Social psychology; Developmental psychology; Social science; Economic growth; Demography; Political science; Economics; Population; Mathematics; Ecology; Mathematical analysis; Biology; Law; Chemistry; Chromatography,Missouri,"Social reproduction, Social mobility, Socioeconomic status, Social capital, Reproduction, Educational attainment, Social class, Sociology of Education, Status attainment, Social status, Sample (material), Psychology, Cultural capital, Social inequality, Inequality, Interpersonal ties, Sociology, Social psychology, Developmental psychology, Social science, Economic growth, Demography, Political science, Economics, Population, Mathematics, Ecology, Mathematical analysis, Biology, Law, Chemistry, Chromatography"
Measuring the Impact of the Toxics Release Inventory: Evidence from Manufacturing Plant Births,2013,,,,,,,The Brattle Group#TAB#,The Brattle Group#TAB#,Census; Per capita; Per capita income; Business; Agricultural economics; Economics; Natural resource economics; Environmental health; Population; Demography; Medicine; Sociology,Boston,"Census, Per capita, Per capita income, Business, Agricultural economics, Economics, Natural resource economics, Environmental health, Population, Demography, Medicine, Sociology"
Medicaid and Mortality: New Evidence from Linked Survey and Administrative Data,2021,,,,https://doi.org/10.1093/qje/qjab004,,Wagner College; United States Census Bureau; New York University; University of Michigan–Ann Arbor; Ross School,"Robert F. Wagner School of Public Service, New York University, New York, United States; University of Michigan, Ross School of Business, Ann Arbor, United States; U.S. Bureau of the Census, United States","Robert F. Wagner School of Public Service, New York University, New York, United States; University of Michigan, Ross School of Business, Ann Arbor, United States; U.S. Bureau of the Census, United States",Medicaid; Socioeconomic status; Percentage point; Demography; Medicine; Citizenship; Sample (material); Demographic economics; Gerontology; Actuarial science; Health care; Economics; Environmental health; Political science; Economic growth; Politics; Sociology; Population; Law; Chemistry; Finance; Chromatography,Michigan,"Medicaid, Socioeconomic status, Percentage point, Demography, Medicine, Citizenship, Sample (material), Demographic economics, Gerontology, Actuarial science, Health care, Economics, Environmental health, Political science, Economic growth, Politics, Sociology, Population, Law, Chemistry, Finance, Chromatography"
Medicaid and Mortality: New Evidence from Linked Survey and Administrative Data,2021,,,,https://doi.org/10.1093/qje/qjab004,,Wagner College; United States Census Bureau; New York University; University of Michigan–Ann Arbor; Ross School,"Robert F. Wagner School of Public Service, New York University, New York, United States; University of Michigan, Ross School of Business, Ann Arbor, United States; U.S. Bureau of the Census, United States","Robert F. Wagner School of Public Service, New York University, New York, United States; University of Michigan, Ross School of Business, Ann Arbor, United States; U.S. Bureau of the Census, United States",Medicaid; Socioeconomic status; Percentage point; Demography; Medicine; Citizenship; Sample (material); Demographic economics; Gerontology; Actuarial science; Health care; Economics; Environmental health; Political science; Economic growth; Politics; Sociology; Population; Law; Chemistry; Finance; Chromatography,Michigan,"Medicaid, Socioeconomic status, Percentage point, Demography, Medicine, Citizenship, Sample (material), Demographic economics, Gerontology, Actuarial science, Health care, Economics, Environmental health, Political science, Economic growth, Politics, Sociology, Population, Law, Chemistry, Finance, Chromatography"
Medicare Savings Program Enrollees and Eligible Non-Enrollees,2017,,,,https://doi.org/10.1002/alz.13016,,,,,Dementia; Medicine; Disease; Pandemic; Gerontology; Cause of death; Workforce; Incidence (geometry); Cognitive decline; Coronavirus disease 2019 (COVID-19); Infectious disease (medical specialty); Internal medicine; Physics; Optics; Economics; Economic growth,Washington,"Dementia, Medicine, Disease, Pandemic, Gerontology, Cause of death, Workforce, Incidence (geometry), Cognitive decline, Coronavirus disease 2019 (COVID-19), Infectious disease (medical specialty), Internal medicine, Physics, Optics, Economics, Economic growth"
Medicare Savings Programs (MSPs): Eligibility and Enrollment Trends,2023,,,,https://doi.org/10.2215/cjn.02430607,,Legacy Good Samaritan Medical Center,"Legacy Transplant Services, Legacy Good Samaritan Hospital, Portland, Oregon; Fax: 503-413-6570; E-mail: [email protected]; Lisa Morrison, Legacy Transplant Services, 1040 NW 22nd Avenue, Suite 480, Portland, Oregon 97210. Phone: 503-413-6555","Legacy Transplant Services, Legacy Good Samaritan Hospital, Portland, Oregon; Fax: 503-413-6570; E-mail: [email protected]; Lisa Morrison, Legacy Transplant Services, 1040 NW 22nd Avenue, Suite 480, Portland, Oregon 97210. Phone: 503-413-6555",Medicine; Medicaid; Population; Medicare Part B; Medicare Advantage; Family medicine; Dialysis; Medicare Part D; Kidney transplantation; Gerontology; Transplantation; Health care; Nursing; Finance; Surgery; Prescription drug; Environmental health; Economic growth; Medical prescription; Economics; Payment,Chicago,"Medicine, Medicaid, Population, Medicare Part B, Medicare Advantage, Family medicine, Dialysis, Medicare Part D, Kidney transplantation, Gerontology, Transplantation, Health care, Nursing, Finance, Surgery, Prescription drug, Environmental health, Economic growth, Medical prescription, Economics, Payment"
"Mergers and Acquisitions, Local Labor Market Concentration and Worker Outcomes",2024,,,,https://doi.org/10.2139/ssrn.3476369,,Princeton University,Princeton University - Department of Economics; Princeton University,Princeton University - Department of Economics; Princeton University,Mergers and acquisitions; Business; Labour economics; Economics; Finance,Irvine,"Mergers and acquisitions, Business, Labour economics, Economics, Finance"
Mergers and Sunk Costs: An Application to the Ready-Mix Concrete Industry,2014,,,,https://doi.org/10.1257/mic.6.4.407,,Duke University,"Department of Economics, Duke University, 233 Social Sciences, Durham, NC 27708 (e-mail: ).","Department of Economics, Duke University, 233 Social Sciences, Durham, NC 27708 (e-mail: ).",Monopoly; Duopoly; Sunk costs; Economics; Market structure; Industrial organization; Market share; Barriers to entry; Business; Microeconomics; Cournot competition; Finance,Chicago,"Monopoly, Duopoly, Sunk costs, Economics, Market structure, Industrial organization, Market share, Barriers to entry, Business, Microeconomics, Cournot competition, Finance"
Metropolitan Segregation: No Breakthrough in Sight,2022,,,,https://doi.org/10.1016/s0140-6736(17)30569-x,,Harvard University; New York City Department of Health and Mental Hygiene; Bard College,"Department of Social and Behavioral Sciences, Harvard T.H. Chan School of Public Health, Boston, MA, USA; Bard Prison Initiative, Annandale-on-Hudson, NY, USA; New York City Department of Health and Mental Hygiene, Long Island City, NY, USA","Department of Social and Behavioral Sciences, Harvard T.H. Chan School of Public Health, Boston, MA, USA; Bard Prison Initiative, Annandale-on-Hudson, NY, USA; New York City Department of Health and Mental Hygiene, Long Island City, NY, USA",Racism; Health equity; Equity (law); Social determinants of health; Criminology; Health care; Psychological intervention; Population; Sociology; Population health; Earnings; Public health; Public relations; Health policy; Political science; Medicine; Gender studies; Economics; Law; Nursing; Demography; Accounting,Baruch,"Racism, Health equity, Equity (law), Social determinants of health, Criminology, Health care, Psychological intervention, Population, Sociology, Population health, Earnings, Public health, Public relations, Health policy, Political science, Medicine, Gender studies, Economics, Law, Nursing, Demography, Accounting"
Micro Data and Macro Technology,2021,,,,https://doi.org/10.3386/w20452,,Princeton University; Federal Trade Commission; National Bureau of Economic Research; International Paper (United States),"Department of Economics Princeton University Fisher Hall Princeton, NJ 08544 and NBER; NBER Working Paper No. 20452; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138; Federal Trade Commission","Department of Economics Princeton University Fisher Hall Princeton, NJ 08544 and NBER; NBER Working Paper No. 20452; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138; Federal Trade Commission",Macro; Computer science; Programming language,Chicago,"Macro, Computer science, Programming language"
Micro Data and Macro Technology,2021,,,,https://doi.org/10.3386/w20452,,Princeton University; Federal Trade Commission; National Bureau of Economic Research; International Paper (United States),"Department of Economics Princeton University Fisher Hall Princeton, NJ 08544 and NBER; NBER Working Paper No. 20452; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138; Federal Trade Commission","Department of Economics Princeton University Fisher Hall Princeton, NJ 08544 and NBER; NBER Working Paper No. 20452; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138; Federal Trade Commission",Macro; Computer science; Programming language,Chicago,"Macro, Computer science, Programming language"
Micro Data and the Macro Elasticity of Substitution,2012,,,,,,,,,Elasticity of substitution; Elasticity (physics); Economics; Econometrics; Macro; Production function; Aggregate (composite); Macro level; Microeconomics; Production (economics); Computer science; Macroeconomics; Materials science; Programming language; Composite material,Chicago,"Elasticity of substitution, Elasticity (physics), Economics, Econometrics, Macro, Production function, Aggregate (composite), Macro level, Microeconomics, Production (economics), Computer science, Macroeconomics, Materials science, Programming language, Composite material"
Migration and Dispersal of Hispanic and Asian Groups: An Analysis of the 2006-2008 Multiyear American Community Survey,2011,,,,https://doi.org/10.2139/ssrn.1946781,,"University of Michigan–Ann Arbor; University of Maryland, College Park",University of Maryland; University of Michigan at Ann Arbor,University of Maryland; University of Michigan at Ann Arbor,Biological dispersal; Geography; Asian americans; Demography; Socioeconomics; Ethnic group; Sociology; Population; Anthropology,Michigan,"Biological dispersal, Geography, Asian americans, Demography, Socioeconomics, Ethnic group, Sociology, Population, Anthropology"
Migration Decisions in Arctic Alaska: Empirical Evidence of the Stepping Stones Hypothesis,2010,,,,https://doi.org/10.2139/ssrn.1729219,,University of Alaska System; University of Alaska Anchorage,"University of Alaska; University of Alaska Anchorage, Department of Economics","University of Alaska; University of Alaska Anchorage, Department of Economics",Arctic; Stepping stone; Empirical evidence; The arctic; Geography; Economics; Oceanography; Geology; Economic growth; Unemployment; Philosophy; Epistemology,UCLA,"Arctic, Stepping stone, Empirical evidence, The arctic, Geography, Economics, Oceanography, Geology, Economic growth, Unemployment, Philosophy, Epistemology"
Migration in Arctic Alaska: Empirical Evidence of the Stepping Stones Hypothesis,2014,,,,https://doi.org/10.1093/migration/mnt017,,University of Alaska Anchorage,"†Department of Economics, University of Alaska Anchorage, Anchorage, AK 99508, USA, ‡Department of Economics, University of Alaska Anchorage, Anchorage, AK 99508, USA and §Institute of Social and Economic Research and Department of Economics, University of Alaska Anchorage, Anchorage, AK 99508, USA","†Department of Economics, University of Alaska Anchorage, Anchorage, AK 99508, USA, ‡Department of Economics, University of Alaska Anchorage, Anchorage, AK 99508, USA and §Institute of Social and Economic Research and Department of Economics, University of Alaska Anchorage, Anchorage, AK 99508, USA",Microdata (statistics); Census; Multinomial logistic regression; Geography; Urban hierarchy; Population; Indigenous; Internal migration; Demographic economics; Empirical evidence; Immigration; Arctic; Economics; Economic geography; Demography; Sociology; Statistics; Ecology; Philosophy; Mathematics; Epistemology; Biology; Archaeology,UCLA,"Microdata (statistics), Census, Multinomial logistic regression, Geography, Urban hierarchy, Population, Indigenous, Internal migration, Demographic economics, Empirical evidence, Immigration, Arctic, Economics, Economic geography, Demography, Sociology, Statistics, Ecology, Philosophy, Mathematics, Epistemology, Biology, Archaeology"
"Migration, International",2007,,,,https://doi.org/10.1080/10803920500434037,,,,,Political science; Development economics; Geography; Economics,Cornell,"Political science, Development economics, Geography, Economics"
Military Service and Immigrants’ Integration: Evidence from the Vietnam Draft Lotteries,2024,,,,https://doi.org/10.1086/704495,,IZA - Institute of Labor Economics; VIVE - The Danish Center for Social Science Research; Lund University,"Lund University, Institute of Labor Economics (IZA); Danish Centre for Social Science Research (VIVE)","Lund University, Institute of Labor Economics (IZA); Danish Centre for Social Science Research (VIVE)",Earnings; Military service; Lottery; Peacetime; Opportunity cost; Service (business); Labour economics; Danish; Business; Economics; Demographic economics; Finance; Marketing; Political science; Law; Microeconomics; Linguistics; Philosophy,Philadelphia,"Earnings, Military service, Lottery, Peacetime, Opportunity cost, Service (business), Labour economics, Danish, Business, Economics, Demographic economics, Finance, Marketing, Political science, Law, Microeconomics, Linguistics, Philosophy"
Military service as a pathway to entrepreneurship in rural communities,2024,,,,https://doi.org/10.1596/978-1-4648-0440-3,,,,,nan,Texas,Geography
Minority- and immigrant-owned small businesses and employer-sponsored health insurance,2022,,,,https://doi.org/10.5860/choice.44-1023,,,,,Dream; Enhanced Data Rates for GSM Evolution; History; Computer science; Psychology; Artificial intelligence; Neuroscience,Colorado,"Dream, Enhanced Data Rates for GSM Evolution, History, Computer science, Psychology, Artificial intelligence, Neuroscience"
Misallocation and Manufacturing TFP in India and China,2009,,,,https://doi.org/10.1162/qjec.2009.124.4.1403,,Stanford University; University of Chicago,"Stanford University, SIEPR, SCID, and NBER; University of Chicago Booth School of Business and NBER","Stanford University, SIEPR, SCID, and NBER; University of Chicago Booth School of Business and NBER",Microdata (statistics); Total factor productivity; China; Economics; Capital (architecture); Productivity; Manufacturing; Agricultural economics; International trade; Business; Population; Economic growth; Geography; Census; Demography; Archaeology; Marketing; Sociology,Chicago,"Microdata (statistics), Total factor productivity, China, Economics, Capital (architecture), Productivity, Manufacturing, Agricultural economics, International trade, Business, Population, Economic growth, Geography, Census, Demography, Archaeology, Marketing, Sociology"
Misallocation and Manufacturing TFP in India and China,2009,,,,https://doi.org/10.1162/qjec.2009.124.4.1403,,Stanford University; University of Chicago,"Stanford University, SIEPR, SCID, and NBER; University of Chicago Booth School of Business and NBER","Stanford University, SIEPR, SCID, and NBER; University of Chicago Booth School of Business and NBER",Microdata (statistics); Total factor productivity; China; Economics; Capital (architecture); Productivity; Manufacturing; Agricultural economics; International trade; Business; Population; Economic growth; Geography; Census; Demography; Archaeology; Marketing; Sociology,Chicago,"Microdata (statistics), Total factor productivity, China, Economics, Capital (architecture), Productivity, Manufacturing, Agricultural economics, International trade, Business, Population, Economic growth, Geography, Census, Demography, Archaeology, Marketing, Sociology"
Misallocation or Mismeasurement?,2020,,,,https://doi.org/10.1016/j.jmoneco.2021.09.004,,Stanford University; Federal Reserve Bank of Richmond; International Monetary Fund,"Stanford University and NBER, United States; U. of Rochester, Richmond Fed, NBER, United States; International Monetary Fund, United States","Stanford University and NBER, United States; U. of Rochester, Richmond Fed, NBER, United States; International Monetary Fund, United States",Allocative efficiency; Economics; Econometrics; Productivity; Revenue; Marginal revenue; Microeconomics; Marginal cost; Macroeconomics; Accounting,Chicago,"Allocative efficiency, Economics, Econometrics, Productivity, Revenue, Marginal revenue, Microeconomics, Marginal cost, Macroeconomics, Accounting"
Misallocation or Mismeasurement?,2020,,,,https://doi.org/10.1016/j.jmoneco.2021.09.004,,Stanford University; Federal Reserve Bank of Richmond; International Monetary Fund,"Stanford University and NBER, United States; U. of Rochester, Richmond Fed, NBER, United States; International Monetary Fund, United States","Stanford University and NBER, United States; U. of Rochester, Richmond Fed, NBER, United States; International Monetary Fund, United States",Allocative efficiency; Economics; Econometrics; Productivity; Revenue; Marginal revenue; Microeconomics; Marginal cost; Macroeconomics; Accounting,Chicago,"Allocative efficiency, Economics, Econometrics, Productivity, Revenue, Marginal revenue, Microeconomics, Marginal cost, Macroeconomics, Accounting"
