Title,Year,Agency,Keywords
A Search and Learning Model of Export Dynamics,2021,Penn State,search learning;model export
Are Customs Records Consistent Across Countries? Evidence from the U.S. and Colombia,2020,Penn State,records consistent;evidence colombia
Two-sided Search in International Markets,2022,Penn State,sided search;search international
Two-sided Search in International Markets,2022,Penn State,sided search;search international
Two-sided Search in International Markets,2016,Penn State,sided search;search international
A Search and Learning Model of Export Dynamics,2015,Penn State,search learning;model export
Public-Use vs. Restricted-Use: An Analysis Using the American Community Survey,2017,Triangle,use;vs restricted
Firm-to-Firm Matching Along the Global Supply Chain,2014,Boston,firm;supply chain
Global Multisourcing and Supply Risk Diversification,2017,Boston,supply risk;risk diversification
Evaluating the Long-Term Effect of NIST MEP Services on Establishment Performance,2015,Atlanta,term effect;long term;effect nist
Evaluating the Impact of Manufacturing Extension Services on Establishment Performance,2018,Atlanta,services establishment;performance;manufacturing extension
Food and Agricultural Industries: Opportunities for Improving Measurement and Reporting,2017,Wisconsin,reporting;opportunities improving;measurement
Employment and Payroll Dynamics in Support Services for Agriculture,2022,Wisconsin,support services;services agriculture
Food and Agricultural Industries: Opportunities for Improving Measurement and Reporting,2016,Wisconsin,reporting;opportunities improving;measurement
Employment and Payroll Dynamics in Support Services for Agriculture,2021,Wisconsin,support services;services agriculture
Social Influence and the Consumer Bankruptcy Decision,2017,Baruch,social influence;influence consumer
Social Influence and the Consumer Bankruptcy Decision,2020,Baruch,social influence;influence consumer
Who Files for Personal Bankruptcy in the United States?,2019,Baruch,united states;personal bankruptcy
Who Files for Personal Bankruptcy in the United States?,2017,Baruch,united states;personal bankruptcy
How Innovation Really Works,2017,UCLA,works;really
Reconciling the Firm Size and Innovation Puzzle,2020,UCLA,size innovation;reconciling firm
Outsourced R&D and GDP Growth,2016,UCLA,outsourced gdp;growth
Reconciling the Firm Size and Innovation Puzzle,2016,UCLA,size innovation;reconciling firm
Does Firm Ownership Matter For the Business Cycle?,2019,Dallas,ownership matter;matter business
How Do CEOs Make Strategy?,2020,Dallas,strategy;make
How Do CEOs Make Strategy?,2020,Dallas,strategy;make
Asset Allocation in Bankruptcy,2016,Stanford,bankruptcy;asset allocation
Bankruptcy Spillovers,2019,Stanford,spillovers;bankruptcy
Bankruptcy Spillovers,2017,Stanford,spillovers;bankruptcy
Bankruptcy Spillovers,2017,Stanford,spillovers;bankruptcy
Asset Allocation in Bankruptcy,2019,Stanford,bankruptcy;asset allocation
"Non-Technological and Mixed Modes of Innovation in the United States: Evidence from the Business Research and Development and Innovation Survey, 2008-2011",2014,UCLA,innovation;united states;2008 2011;business;development
"R&D, Attrition and Multiple Imputation in BRDIS",2017,UCLA,multiple imputation;imputation brdis
"Identification Strategies for Models of Innovation, R&D and Productivity",2015,UCLA,strategies models;productivity
Innovation Output Choices and Characteristics of Firms in the U.S,2014,UCLA,output choices;innovation output
Sensitivity of Econometric Estimates to Item Non-response Adjustment,2016,UCLA,sensitivity econometric;response adjustment
Finding a Needle in a Haystack: The Theoretical and Empirical Foundations of Assessing Disclosure Risk for Contextualized Microdata,2016,Michigan,theoretical empirical;finding needle;assessing disclosure;contextualized;disclosure risk
Challenges in the Measurement of Leakage Risk,2018,Berkeley,risk;measurement leakage
Measuring Leakage Risk,2016,Berkeley,risk;measuring leakage
Mitigating Emissions Leakage in Incomplete Carbon Markets,2019,Berkeley,mitigating emissions;markets
Introduction of Head Start and Maternal Labor Supply: Evidence from a Regression Discontinuity Design,2016,Chicago,supply evidence;introduction head;discontinuity;evidence regression;head start
Breaking Up Is Hard To Do: Why Firms Fragment Production Across Locations,2013,Boston,production locations;hard firms
Factoryless Goods Producers in the U.S,2013,Boston,producers;goods
Technology and Production Fragmentation: Domestic versus Foreign Sourcing,2015,Boston,versus foreign;technology production;sourcing
The Margins of Global Sourcing: Theory and Evidence from U.S. Firms,2017,Boston,theory evidence;sourcing theory
The Margins of Global Sourcing: Theory and Evidence from U.S. Firms,2014,Boston,theory evidence;sourcing theory
New Perspectives on the Decline of U.S. Manufacturing Employment,2018,Boston,perspectives decline;new perspectives
The Margins of Global Sourcing: Theory and Evidence from U.S. Firms,2017,Boston,theory evidence;sourcing theory
Technology and Production Fragmentation: Domestic versus Foreign Sourcing,2017,Boston,versus foreign;technology production;sourcing
Factoryless Goods Producers in the U.S,2013,Boston,producers;goods
Factoryless Goods Producers in the U.S,2017,Boston,producers;goods
Technology and Production Fragmentation: Domestic versus Foreign Sourcing,2016,Boston,versus foreign;technology production;sourcing
Factoryless Goods Producing Firms,2015,Boston,producing firms;goods producing
New Perspectives on the Decline of U.S. Manufacturing Employment,2018,Boston,perspectives decline;new perspectives
The Margins of Global Sourcing: Theory and Evidence from U.S. Firms,2014,Boston,theory evidence;sourcing theory
New Perspectives on the Decline of U.S. Manufacturing Employment,2018,Boston,perspectives decline;new perspectives
Constructing a Bridge File: Compustat to the SSEL,2020,Boston,ssel;file compustat
Exports: LFTTD vs COMPUSTAT SEGMENT,2020,Boston,vs compustat;segment
Concentrating on the Fall of the Labor Share,2017,Boston,share;labor
Concentrating on the Fall of the Labor Share,2017,Boston,share;labor
Employer Failure and Employee Careers: Evidence From the US Census and an Innovation-Driven Industr,2023,Baruch,innovation driven;employee careers;careers evidence
Immigrant Entrepreneurship,2016,Baruch,immigrant entrepreneurship
Immigrant Entrepreneurship in America: Evidence from the Survey of Business Owners 2007 & 2012,2018,Baruch,survey business;entrepreneurship;2007 2012;america
Immigrant Entrepreneurship in America: Evidence from the Survey of Business Owners 2007 & 2012,2020,Baruch,survey business;entrepreneurship;2007 2012;america
"Employee Non-compete Agreements, Gender, and Entrepreneurship",2022,Baruch,non compete;gender entrepreneurship
"Ratings Systems and Increased Heterogeneity in Business Performance, Evidence from the New York City Restaurant Industry, 1994 – 2013",2020,Baruch,york city;increased heterogeneity;1994 2013;business;city restaurant;evidence;industry
"The Advent and Expansion of Internet Ratings, Heterogeneous Consumer Segments, and Comparative Business Performance",2019,Baruch,segments comparative;expansion;business;consumer;heterogeneous
"Ratings Systems and Increased Heterogeneity in Business Performance: Evidence from the New York City Restaurant Industry, 1994 – 2013",2020,Baruch,york city;increased heterogeneity;1994 2013;business;city restaurant;evidence;industry
Punctuated Entrepreneurship (Among Women),2018,Baruch,women;punctuated entrepreneurship
Immigrants Play a Disproportionate Role in American Entrepreneurship,2016,Baruch,role american;play disproportionate
Immigrant Entrepreneurship,2017,Baruch,immigrant entrepreneurship
Disambiguating Categorical Competition Using A Natural Experimental Approach,2023,Baruch,using natural;natural experimental;experimental approach
Three Essays on Corporate Innovations,2015,Boston,innovations;essays corporate
Examining Multi-Level Correlates of Suicide by Merging NVDRS and ACS Data,2017,Chicago,suicide merging;level;acs data
Small and Large Firms over the Business Cycle,2017,Chicago,small large;large firms
Small and Large Firms Over the Business Cycle,2020,Chicago,small large;large firms
Small and Large Firms Over the Business Cycle,2018,Chicago,small large;large firms
The Impacts of Lower Natural Gas Prices on Jobs in the US Manufacturing Sector,2019,Boston,sector;prices jobs;natural gas
Three Essays on Environmental Regulation and Economic Activities,2019,Boston,regulation economic;essays environmental
How Does State-Level Carbon Pricing in the United States Affect Industrial Competitiveness?,2020,Boston,united states;industrial competitiveness;affect industrial
Documenting the 1973 and 1978 Surveys of Water Use in Manufacturing (SWUM),2023,Boston,water use;use manufacturing;swum
Renewable Portfolio Standard and Firms’ Production Shifting: An Industry-by-Industry Analysis,2018,Boston,industry;standard firms;shifting
Environmental Regulations and Employment in the Pulp and Paper Industry: Evidence from the Cluster Rule,2018,Boston,rule;evidence cluster;employment;environmental
Environmental Regulations and Technological Change: Pulp and Paper Mills and EPA’s Cluster Rule,2020,Boston,technological change;mills;change pulp;cluster;environmental
Employment and Output Leakage Under California’s Cap-and-Trade Program,2016,Boston,trade program;output leakage
How Does State-Level Carbon Pricing in the United States Affect Industrial Competitiveness,2020,Boston,united states;industrial competitiveness;affect industrial
Carbon Tax Competitiveness Concerns: Assessing a Best Practices Carbon Credit,2017,Boston,carbon;tax competitiveness;practices;credit
How Does State-Level Carbon Pricing in the United States Affect Industrial Competitiveness?,2022,Boston,united states;industrial competitiveness;affect industrial
Estimating the cost of environmental regulations and technological change with limited information,2023,Boston,technological change;regulations technological;limited information
Firm Leverage and Unemployment during the Great Recession,2015,Boston,unemployment great;recession
"Firm Leverage, Consumer Demand, and Employment Losses during the Great Recession",2017,Boston,recession;losses great;leverage consumer
Firm Leverage and Regional Business Cycles,2018,Boston,regional business;leverage regional
Firms' Internal Networks and Local Economic Shocks,2019,Boston,shocks;networks local
Firms' Internal Networks and Local Economic Shocks,2017,Boston,shocks;networks local
"Firm Leverage, Consumer Demand, and Employment Losses During the Great Recession",2017,Boston,recession;losses great;leverage consumer
Redistribution of Local Labor Market Shocks through Firms' Internal Networks,2016,Boston,shocks firms;redistribution local;networks
Firm Leverage and Employment Dynamics,2021,Boston,leverage employment;firm leverage
State Taxation and the Reallocation of Business Activity: Evidence from Establishment-Level Data,2019,Boston,taxation reallocation;evidence;business
Firm Leverage and Regional Business Cycles,2018,Boston,regional business;leverage regional
State Taxation and the Reallocation of Business Activity: Evidence from Establishment-Level Data,2015,Boston,taxation reallocation;evidence;business
Redistribution of Local Demand Shocks through Firms’ Internal Networks,2016,Boston,shocks firms;redistribution local;networks
Firm Leverage and Unemployment during the Great Recession,2015,Boston,unemployment great;recession
Redistribution of Local Labor Market Shocks through Firms' Internal Networks,2017,Boston,shocks firms;redistribution local;networks
Firms' Internal Networks and Local Economic Shocks,2017,Boston,shocks;networks local
State Taxation and the Reallocation of Business Activity: Evidence from Establishment-Level Data,2017,Boston,taxation reallocation;evidence;business
In-migration and Dilution of Community Social Capital,2018,Atlanta,social capital;migration dilution
Wage Determination in Social Occupations: The Role of Individual Social Capital,2018,Atlanta,social;wage determination;role individual
Decennial Census Return Rates: The Role of Social Capital,2017,Atlanta,social capital;role social;return rates
Individual Social Capital and Migration,2018,Atlanta,social capital;migration
Individual social capital and migration. ,2021,Atlanta,social capital;migration
Wage Determination in Social Occupations: The Role of Individual Social Capital,2016,Atlanta,social;wage determination;role individual
In-Migration and Dilution of Community Social Capital,2021,Atlanta,social capital;migration dilution
US Decennial Census Return Rates: The Role of Social Capital,2019,Atlanta,social capital;role social;return rates
Social Capital and Census Response Rates,2019,Atlanta,social capital;response rates
Long-term effects of group rights to resources: Evaluating the Western Alaska Community Development Quota program,2020,USC,western alaska;group rights;alaska community;community development;development quota
Long-Term Benefits to Indigenous Communities of Extractive Industry Partnerships: Evaluating the Red Dog Mine,2020,USC,term benefits;indigenous;communities;dog
Rural-urban mobility patterns of Arctic Indigenous Peoples: Evaluating the stepping-stones hypothesis,2020,USC,urban mobility;patterns;arctic indigenous
"Resource Rents, Universal Basic Income, and Poverty among Alaska's Indigenous Peoples",2018,USC,universal basic;indigenous peoples;alaska indigenous;basic income
Long-term effects of capital transfers: Alaska Native Corporations and the relative well-being of Alaska Native shareholders,2020,USC,alaska;native;long;capital;corporations
"Creditor Rights, Technology Adoption, and Productivity: Plant-Level Evidence",2017,Chicago,technology adoption;rights technology
"Creditor Rights, Technology Adoption, and Productivity: Plant-Level Evidence",2020,Chicago,technology adoption;rights technology
"Creditor Rights, Technology Adoption, and Productivity: Plant-Level Evidence",2018,Chicago,technology adoption;rights technology
Creditor Rights and Entrepreneurship: Evidence from Fraudulent Transfer Law,2022,Chicago,transfer law;rights entrepreneurship;fraudulent transfer
Creditor Control Rights and Resource Allocation within Firms,2021,Chicago,rights resource;resource allocation
Creditor Control Rights and Resource Allocation within Firms,2015,Chicago,rights resource;resource allocation
Collateral Values and Corporate Employment,2015,Chicago,values corporate;employment
Creditor Rights and Entrepreneurship: Evidence from Fraudulent Transfer Law,2016,Chicago,transfer law;rights entrepreneurship;fraudulent transfer
Collateral Shocks and Corporate Employment,2020,Chicago,shocks corporate;employment
Measuring Plant Level Energy Efficiency and Technical Change in the U.S. Metal-Based Durable Manufacturing Sector Using Stochastic Frontier Analysis,2019,Triangle,using stochastic;level energy;based;change;durable;efficiency;frontier
Comparing the Statistical Distributions of Energy Efficiency in Manufacturing: Meta-Analysis of 24 Case Studies to Develop Industry-Specific Energy Performance Indicators (EPI),2017,Triangle,energy;studies develop;efficiency manufacturing;distributions;develop industry;comparing statistical
Evidence of an 'Energy-Management Gap' in U.S. Manufacturing: Spillovers from Firm Management Practices to Energy Efficiency,2014,Triangle,energy;management;spillovers firm;gap
Relative Effectiveness of Energy Efficiency Programs versus Market Based Climate Policies in the Chemical Industry,2020,Triangle,versus market;energy;based climate;chemical;climate policies;effectiveness
Creating Linked Datasets for SME Energy-Assessment Evidence Building: Results from the U. S. Industrial Assessment Center Program,2017,Triangle,assessment;building;center;creating;datasets
Relative Effectiveness of Energy Efficiency Programs versus Market Based Climate Policies in the Chemical Industry,2018,Triangle,versus market;energy;based climate;chemical;climate policies;effectiveness
An Energy Performance Indicator for Integrated Paper  and Paperboard Mills: A New Statistical Model Helps Mills Set Energy Efficiency Targets,2014,Triangle,energy;mills;targets;helps;indicator;integrated;model;new
Evidence of an 'Energy-Management Gap' in U.S. Manufacturing: Spillovers from Firm Management Practices to Energy Efficiency,2013,Triangle,energy;management;spillovers firm;gap
Creating Linked Datasets for SME Energy-Assessment Evidence Building: Results from the U. S. Industrial Assessment Center Program,2017,Triangle,assessment;building;center;creating;datasets
Measuring Plant Level Energy Efficiency and Technical Change in the U.S. Metal-Based Durable Manufacturing Sector Using Stochastic Frontier Analysis,2016,Triangle,using stochastic;level energy;based;change;durable;efficiency;frontier
The Dynamics of Latino-Owned Business with Comparisons to Other Ethnicities,2016,Texas,owned business;latino owned
"Differences Between Latino-Owned Businesses and White-, Black-, or Asian-Owned Businesses: Evidence from Census Microdata",2018,Texas,owned businesses;white black
Factors Associated with Latino-Owned Business Survival in the United States,2019,Texas,united states;survival united
"Business, Owner, and Regional Characteristics in Latino-owned Business Growth: An Empirical Analysis Using Confidential Census Microdata",2020,Texas,business;using confidential;analysis using;census;characteristics;empirical
The Impact of Latino-Owned Business on Local Economic Performance,2016,Texas,performance;owned business
"Bright Minds, Big Rent: Gentrification and the Rising Returns to Skill",2016,Baruch,skill;rising returns;rent gentrification
"Bright Minds, Big Rent: Gentrification and the Rising Returns to Skill",2015,Baruch,skill;rising returns;rent gentrification
Gentrification and the Rising Returns to Skill,2021,Baruch,skill;rising returns
Gentrification and the Rising Returns to Skill,2019,Baruch,skill;rising returns
Making a Motivated Manager: A Census Data Investigation into Efficiency Differences Between Franchisee and Franchisor-Owned Restaurants,2016,Missouri,restaurants;franchisor;census data;data investigation;differences
"Franchising, Ownership, Survival and Exit",2018,Missouri,survival exit;ownership survival
The Effect of Franchising on Establishment Performance in the U.S. Restaurant Industry,2019,Missouri,restaurant industry;performance restaurant
The effect of franchising on the performance of hotel segments,2018,Missouri,segments;performance hotel
Effects of Organizational Structure and Governance on Restaurant Productivity: The Case of Franchising,2013,Missouri,structure governance;restaurant productivity;productivity case
Market Exposure and Endogenous Firm Volatility over the Business Cycle,2016,Fed Board,volatility business;market exposure;firm volatility
Intangibles and Endogenous Firm Volatility over the Business Cycle,2013,Fed Board,volatility business;intangibles endogenous
The Scope of U.S. 'Factoryless Manufacturing',2015,Fed Board,scope factoryless;manufacturing
Boom town business dynamics,2023,Fed Board,town business;dynamics
Investment Responses to Trade Liberalization: Evidence from U.S. Industries and Establishments,2018,Fed Board,trade liberalization;responses trade;liberalization evidence
Investment Responses to Trade Liberalization: Evidence from U.S. Industries and Plants,2017,Fed Board,trade liberalization;responses trade;plants
Evidence for the Effects of Mergers on Market Power and Efficiency,2016,Fed Board,power efficiency;mergers market
Intangibles and Endogenous Firm Volatility over the Business Cycle,2011,Fed Board,volatility business;intangibles endogenous
Evidence for the Effects of Mergers on Market Power and Efficiency,2016,Fed Board,power efficiency;mergers market
Evidence for the Effects of Mergers on Market Power and Efficiency,2016,Fed Board,power efficiency;mergers market
Firm dynamics and local economic shocks: Evidence from the shale oil and gas boom,2017,Fed Board,shocks evidence;firm dynamics;dynamics local;economic;evidence shale
"Importing, Exporting, and Firm-level Employment Volatility",2016,Fed Board,volatility;level employment
White-Latino Residential Attainments and Segregation in Six Cities: Assessing the Role of Micro-Level Factors,2016,Texas,white latino;level;assessing role
White-Latino Residential Attainments and Segregation in Six Cities: Assessing the Role of Micro-Level Factors,2018,Texas,white latino;level;assessing role
"Density, Productivity, and Sorting",2015,Boston,sorting;productivity
Geography in Reduced Form,2017,Boston,reduced form;geography reduced
The Distributional Effects of Trade: Theory and Evidence from the United States,2023,Boston,united states;trade theory;theory evidence
The Distributional Effects of Trade: Theory and Evidence from the United States,2018,Boston,united states;trade theory;theory evidence
The Distributional Effects of Trade: Theory and Evidence from the United States,2021,Boston,united states;trade theory;theory evidence
The Distributional Effects of Trade: Theory and Evidence from the United States,2023,Boston,united states;trade theory;theory evidence
Essays in Economic Geography,2015,Boston,geography;essays economic
"Productivity, Density, and Sorting",2014,Boston,sorting;productivity density
The Impact of Heterogeneous NOx Regulations on Distributed Electricity Generation in U.S. Manufacturing,2015,Triangle,regulations distributed;nox regulations;manufacturing
"When do Environmental Regulations Backfire? Onsite Industrial Electricity Generation, Energy Efficiency, and Policy Instruments",2019,Triangle,regulations backfire;environmental regulations;backfire onsite;efficiency;electricity
Essays in Macroeconomics and International Trade,2016,Baruch,trade;macroeconomics international
Firm-to-Firm Relationships and Price Rigidity Theory and Evidence,2017,Baruch,firm;theory evidence
Trade Policy and the Structure of Supply Chains,2016,Baruch,trade policy;supply chains
Firm-to-Firm Relationships and Price Rigidity – Theory and Evidence,2016,Baruch,firm;theory evidence
Bargaining Power in Firm-to-Firm Relationships - ‎Two Methodologies to Detect Outliers in the Census Trade Data,2017,Baruch,firm;trade data;bargaining power;census
Firm-to-Firm Relationships and Price Rigidity,2015,Baruch,firm;rigidity
Identifying Large Plant Spillovers: New Evidence from Large Plant Openings,2018,Atlanta,plant;large;spillovers new;openings
Agglomeration Spillovers and Persistence: new Evidence from Large Plant Openings,2022,Atlanta,spillovers persistence;plant openings;persistence new
Concentration and Foreign Sourcing in the U.S. Retail Sector,2019,UCLA,sourcing retail;sector
Structural versus Ethnic Dimensions of Housing Segregation,2016,UCLA,versus ethnic;structural versus
"Black Pioneers, Intermetropolitan Movers, and Housing Desegregation",2016,UCLA,pioneers intermetropolitan;movers housing
Moving toward Integration: The Past and Future of Fair Housing,2018,UCLA,past future;moving integration
The Opportunity and the Danger of the New Urban Migration,2019,UCLA,urban migration;opportunity danger
Structural versus Ethnic Dimensions of Housing Segregation,2018,UCLA,versus ethnic;structural versus
Cogeneration Technology Adoption in the U.S,2016,Chicago,technology adoption;cogeneration technology
Industrial Investments in Energy Efficiency: A Good Idea?,2017,Chicago,investments energy;industrial investments
The Long-Run Effects of Recessions on Education and Income,2022,Michigan,run effects;recessions education
Head Start and Mothers' Work: Free Child Care or Something More?,2018,Michigan,work free;start mothers;mothers work
Head Start and Mothers' Work: Free Child Care or Something More?,2022,Michigan,work free;start mothers;mothers work
The Impact of College Education on Old-Age Mortality: A Study of Marginal Treatment Effects,2017,Michigan,treatment effects;impact college;age mortality
Is the Social Safety Net a Long-Term Investment? Large-Scale Evidence from the Food Stamps Program,2019,Michigan,term investment;net;evidence food
The Long-Term Health and Economic Benefits of Family Planning Programs,2000,Michigan,term health;programs
Local Ties in Spatial Equilibrium,2019,Michigan,ties spatial;spatial equilibrium
The Long-Term Health and Economic Benefits of Community Health Centers,2000,Michigan,health;term
The Long-Run Effects of America’s First Paid Maternity Leave Policy,2019,Michigan,run effects;policy
Prep School for Poor Kids: The Long-Run Impacts of Head Start on Human Capital and Economic Self-Sufficiency,2018,Michigan,sufficiency;long;capital economic;economic self;head
The War on Poverty and Economic Mobility,2000,Michigan,war poverty;poverty economic
Prep School for Poor Kids: The Long-Run Impacts of Head Start on Human Capital and Economic Self-Sufficiency,2020,Michigan,sufficiency;long;capital economic;economic self;head
What Caused Racial Disparities in Particulate Exposure to Fall? New Evidence from the Clean Air Act and Satellite-Based Measures of Air Quality,2020,Michigan,air;satellite based;act satellite;based measures;caused;clean;disparities
What Caused Racial Disparities in Particulate Exposure to Fall? New Evidence from the Clean Air Act and Satellite-Based Measures of Air Quality,2021,Michigan,air;satellite based;act satellite;based measures;caused;clean;disparities
What Caused Racial Disparities in Particulate Exposure to Fall? New Evidence from the Clean Air Act and Satellite-Based Measures of Air Quality,2020,Michigan,air;satellite based;act satellite;based measures;caused;clean;disparities
Does Parents’ Access to Family Planning Increase Children’s Opportunities? Evidence from the War On Poverty and the Early Years of Title X,2018,Michigan,years title;increase;access family;children;does;early
Long-Run Adult Socio-economic Outcomes from In Utero Airborne Lead Exposure,2022,Michigan,utero airborne;lead exposure
Prep School for Poor Kids: The Long-Run Impacts of Head Start on Human Capital and Economic Self-Sufficiency,2021,Michigan,sufficiency;long;capital economic;economic self;head
The Long-Run Effects of Recessions on Education and Income,2017,Michigan,run effects;recessions education
Less is More: How Family Size in Childhood Affects Long-Run Human Capital and Economic Opportunity,2019,Michigan,size childhood;family;affects long
Is the Social Safety Net a Long-Term Investment? Large-Scale Evidence from the Food Stamps Program,2020,Michigan,term investment;net;evidence food
Does Parents' Access to Family Planning Increase Children's Opportunities? Evidence from the War On Poverty and the Early Years of Title X,2017,Michigan,years title;increase;access family;children;does;early
Does Younger Marriage Affect Divorce? Evidence from Executive Order 11241 and the 'Midnight Marriages'  ,2019,Michigan,younger marriage;evidence executive;11241 midnight;affect
Does Younger Marriage Affect Divorce? Evidence from Johnson's Executive Order 11241,2021,Michigan,younger marriage;evidence johnson;affect;divorce
"The Modern Wholesaler: Global Sourcing, Domestic Distribution, and Scale Economies",2018,Yale,wholesaler global;sourcing domestic;scale economies
"Growing Oligopolies, Prices, Output, and Productivity",2018,Yale,productivity;prices output
"Growing Oligopolies, Prices, Output, and Productivity",2021,Yale,productivity;prices output
"Heavy Tailed, but not Zipf: Firm and Establishment Size in the U.S.",2023,Fed Board,zipf firm;tailed zipf
"Heavy Tailed, but not Zipf: Firm and Establishment Size in the U.S.",2021,Fed Board,zipf firm;tailed zipf
On the U.S. Firm and Establishment Size Distributions,2018,Fed Board,size distributions;firm establishment
The Great Recession and a Missing Generation of Exporters,2019,Michigan,recession missing;missing generation
Fast Adjustment to Exchange Rate Shocks,2019,Michigan,shocks;rate
The Role of Transfer Pricing in Profit Shifting by U.S. Multinational Firms: Evidence from the 2004 Homeland Investment Act,2016,Michigan,transfer pricing;investment act;2004 homeland;evidence;firms;homeland investment
"Returns to Scale, Productivity Measurement, and Trends in U.S. Manufacturing Misallocation",2018,Michigan,trends manufacturing;scale productivity;returns scale
Estimating Unequal Gains across U.S. Consumers with Supplier Trade Data,2018,Michigan,unequal gains;trade data;supplier trade
"Multinationals, Offshoring and the Decline of U.S. Manufacturing,",2020,Michigan,offshoring decline;multinationals offshoring
The Coagglomeration of Innovation and Production,2019,Michigan,production;innovation
Goods-market Frictions and International Trade,2017,Michigan,trade;market frictions
Convex Supply Curves,2020,Michigan,supply curves;convex supply
"Multinationals, Offshoring and the Decline of U.S. Manufacturing,",2019,Michigan,offshoring decline;multinationals offshoring
 A matter of taste: Estimating import price inflation across U.S. income groups,2020,Michigan,taste estimating;price inflation;matter taste
The Great Recession and a Missing Generation of Exporters,2018,Michigan,recession missing;missing generation
The Great Recession and a Missing Generation of Exporters,2018,Michigan,recession missing;missing generation
Exporting and Firm Value,2019,Michigan,value;firm
The Local Area Impact of Exporting,2021,Michigan,local area;impact exporting
The Rise of Exporting by U.S. Firms,2016,Michigan,rise exporting;firms
Distributional Consequences of Trade for U.S. Consumers: Estimating Group-Specific Import Price Inflation,2018,Michigan,trade consumers;group;consequences trade
The Rise of Exporting by U.S. Firms,2018,Michigan,rise exporting;firms
Pirate's Treasure,2017,Michigan,treasure;pirate
Pirate's Treasure,2017,Michigan,treasure;pirate
"Multinationals, Offshoring and the Decline of U.S. Manufacturing",2017,Michigan,offshoring decline;multinationals offshoring
Entry Costs and Increasing Trade,2016,Michigan,trade;increasing
Identifying Foreign Suppliers in U.S. Import Data,2018,Michigan,suppliers import;import data
Learning and the Value of Relationships in International Trade,2016,Michigan,value relationships;trade
Are supply curves convex? Implications for state-dependent responses to shocks,2018,Michigan,supply curves;state dependent
"Firm Reorganization, Chinese Imports, and US Manufacturing Employment",2017,Baruch,reorganization chinese;manufacturing employment
Patterns in US manufacturing firms material sourcing by using the CMF and LFTTD: The case of domestic and foreign in- and outsourcing,2017,Baruch,using cmf;lfttd;case domestic;domestic foreign;firms;foreign outsourcing
Restructuring of the Financial Industry and Implications for Sources of Start-up Capital for New Businesses in Nonmetropolitan Counties,2016,Texas,start capital;industry;businesses nonmetropolitan;capital new;counties
"Locally Owned Bank Commuting Zone Concentration and Employer Start-Ups in Metropolitan, Micropolitan and Non-Core Rural Commuting Zones from 1970-2010",2018,Texas,commuting;zones 1970;concentration;locally;employer start;core rural
Rural Financial Sector Restructuring and Persistent Poverty: Looking Backward and Forward at Community Banks,2018,Texas,sector restructuring;looking;backward forward;banks;community
Restructuring of the Financial Industry: The Disappearance of Locally Owned Traditional Financial Services in Rural America,2014,Texas,financial;traditional;disappearance;industry;locally
Small Business Lending and Economic Development in Texas Counties: A Test of the Community Capitals Framework,2018,Texas,texas counties;development texas;business lending;capitals;community
Community Banks and Loans for Nonmetropolitan Businesses: A Multilevel Analysis from the 2007 Survey of Business Owners,2018,Texas,survey business;businesses multilevel;2007 survey;analysis;banks
"Locally Owned Bank Concentration and New Business Start-Ups in Metropolitan, Micropolitan and Non-Core Rural Counties from 1970-2010",2020,Texas,ups metropolitan;locally owned;1970 2010;bank;business
The Need to Account for Complex Sampling Features when Analyzing Establishment Survey Data: An Illustration using the 2013 Business Research and Development and Innovation Survey (BRDIS),2017,Michigan,survey;using 2013;business;development;data illustration;complex sampling;brdis;establishment
The Need to Account for Complex Sampling Features when Analyzing Establishment Survey Data:  An Illustration using the 2013 Business Research and Development and Innovation Survey (BRDIS),2018,Michigan,survey;using 2013;business;development;data illustration;complex sampling;brdis;establishment
Do Walmart Supercenters Improve Food Security?,2018,Atlanta,walmart supercenters;supercenters improve
Do Walmart Supercenters Improve Food Security?,2019,Atlanta,walmart supercenters;supercenters improve
Do Walmart Supercenters Improve Food Security?,2018,Atlanta,walmart supercenters;supercenters improve
House Money and Entrepreneurship,2015,Boston,money entrepreneurship;house money
"House Prices, Home Equity and Entrepreneurship: Evidence from U.S. Census Micro Data",2022,Boston,prices home;evidence;census micro;data
"House Prices, Home Equity and Entrepreneurship: Evidence from U.S. Census Micro Data",2022,Boston,prices home;evidence;census micro;data
Growing Productivity Without Growing Wages: Micro-Level Anatomy of the Aggregate Labor Share Decline,2017,Triangle,growing;wages micro;aggregate labor;anatomy
Growing Productivity Without Growing Wages: Micro-Level Anatomy of the Aggregate Labor Share Decline,2017,Triangle,growing;wages micro;aggregate labor;anatomy
Do Firms Mitigate or Magnify Capital Misallocation? Evidence from Plant-Level Data,2018,Triangle,plant level;capital misallocation;data
Do Firms Mitigate or Magnify Capital Misallocation? Evidence from Plant-Level Data,2017,Triangle,plant level;capital misallocation;data
The Micro-Level Anatomy of the Labor Share Decline,2018,Triangle,share decline;micro level
The Micro-Level Anatomy of the Labor Share Decline,2018,Triangle,share decline;micro level
The Cross-Section of Labor Leverage and Equity Returns,2019,Triangle,section labor;returns
Growing Productivity Without Growing Wages: Micro-Level Anatomy of the Aggregate Labor Share Decline,2017,Triangle,growing;wages micro;aggregate labor;anatomy
The Micro-Level Anatomy of the Labor Share Decline,2021,Triangle,share decline;micro level
The Cross-Section of Labor Leverage and Equity Returns,2017,Triangle,section labor;returns
